id,almoco,jantar,domingo_almoco,outros,data_emissao
1,185.00,110.00,198.00,10.00,"2024-10-28 18:48:47"
2,110.00,115.00,125.00,10.00,"2024-10-28 18:53:01"
3,130.00,115.00,135.00,10.00,"2024-10-29 07:07:29"
4,89.00,95.00,109.00,18.00,"2024-10-29 07:10:07"
5,145.00,187.00,200.00,76.00,"2024-10-29 11:12:48"
6,105.00,115.00,125.00,10.00,"2024-10-29 14:30:39"
7,84.00,89.00,99.00,78.00,"2024-10-31 20:07:35"
8,110.00,110.00,125.00,105.00,"2024-11-01 21:07:41"
9,110.80,110.80,125.80,105.80,"2024-11-07 14:36:21"
10,34.00,23.00,76.00,56.00,"2024-11-07 18:37:26"
11,110.80,105.80,155.80,89.00,"2024-11-08 07:18:58"
12,123.90,99.90,132.00,89.00,"2024-11-27 12:48:30"
13,115.00,115.00,130.00,120.00,"2024-11-29 05:42:50"
14,110.00,110.00,130.00,120.00,"2024-11-30 20:53:26"
15,21.00,34.00,98.00,56.00,"2024-12-02 18:09:45"
16,112.80,112.80,135.80,135.80,"2025-11-28 20:58:38"
17,110.80,115.00,135.80,135.80,"2025-12-01 20:42:26"
18,110.00,111.00,130.00,135.80,"2025-12-01 20:54:00"
19,110.80,110.80,135.80,120.00,"2025-12-01 21:03:01"
